review,date
ay önceden bana ikaz vermeye başladı araba yüzden tarih dedim evet maliyetler yüksek farklı yerden fiyat aldım otomol sadece ön balata tl istedi i̇stanbulotoda ikisini değiştirdim,09.09.2023
bende size bir soru sorıyım balatayı değiştirdikten sonra araçta çizik sesi gelmeye başladı yaptırdığım yere geri götürdüm temizlik yapalım geçer dediler i̇lk zamanlar geçti halen devam ediyor ayağım gazda değilken düşük hızda sürtüyor sebebi nedir sizce,09.09.2023
merhaba böyle birşeyle karşılaşan oldumu resime gitmek tıklayın,09.09.2023
bilgi güncellemesi yapmak istiyorum arkadaşlar yıllık deneyimimden sonra aracımdan son derece memnundum yakın bir zamanda deneyimine adım atacağım güncellemem şekilde siparişini vermiş olduğum m sport aracımda bana verilen özellik listesini kontrol ettiğimde kablosuz şarj özelliğinin paketin dışına çıkarılmış olduğunu farkettimyani büyük bir ihtimalle standart paketlerde artık özellik yok maalesef sanırım araç fiyatlarını nin altında tutabilmek mecburen yapıyorlar bunu biliyorsunuz ikinin üzerindeki araçlara banka kredisi çıkmıyorbenim güzel ülkemin güzel tuhaflıkları,30.09.2023
standart m sportta zaten bahsettiğiniz opsiyonlar yok zaten haliyle iki milyonun altında tutabiliyorlar rakamıha ben sabırlıyım aracım geldiğinde çıkacak rakama razıyım derseniz işte zaman standart paket dışında tutulan opsiyonları artık ekstralara kablosuz şarj dahil edildi yazık alabilme şansınız oluyor,01.10.2023
selamlar bunun üzerine düşünmemiştim çerçeveli olarak kullanıyorum,02.10.2023
ekradan video oynatmaelle komut,23.09.2023
bunlarıda kaldırmışlar galiba,23.09.2023
ekrandan video oynatma zaten yok yazılımla falan açıyorlar biliyorum teslim ettikleri araçlarda elle kontrol yok biliyorum önemli bir özellik olduğunu düşünmüyorum,23.09.2023
aracın menüsünde tanıtım videosu varonu izleyebiliyorumoda hareket halinde kesiyorsadece sesi geliyortelefonu bağladığımda herşey ekrana yansıyor fakat youtube yokbu arada benim aracım haziran teslim,23.09.2023
hayırlı olsun öncelikle video oynatma zaten youtube üzerinden olmuyor usb bellek kullanarak video falan izlenebiliyor onun araç hareket halindeyken kapanmaması kodlama yapılıyor araçlara el hareketi takibi bence önemli değil dokunmatik ekran kesinlikle fark yaratıyor,23.09.2023
teşekkür ederimama şeyler benim canımı sıkıyorarka ambiyansları kaldırmışlararka kolçak gelmedisoldaki ufak göz yok,23.09.2023
selamlar hocam vale modunun olayı geçmiş aramalarınız kişi kayıtları vb size özel kalmasını isteyebileceğiniz bilgilere erişimi kısıtlamak biliyorum valeye araç teslim etmeyi sevmediğimden valelerin araçları fütursuzca kullandığına şahit oldukça denemedim rft lastiğin asıl olayı lastiğin yanak kısımlarının güçlendirilmiş olması sayede araç tekeri sönmüş olsa jantın altında kalan lastiğin içten yememesi sizi makul bir mesafede makul hızda bir yere ulaştırması lastiğin asfalta temas eden yüzeyi normal lastikten farklı değil lastik asfalta bakan yüzünden vida sebebiyle patladıysa düzgün bir yama kullanmaya devam edersiniz lastik yanağındaki güçlendirilmiş kısım ağır bir yara aldıysa işinin ehli bir ustanın karar vermesi gerekir özellikle ince yanaklı lastiklerde çukura sert girme sonucu balon falan oluşursa lastik kesinlikle değişmeli bildiğim kadarıyla sensör sibobun hemen arkasında kibrit kutusu kadar bişey kolay kolay hasar görecek bişey değil jantın içe kavisli yüzeyine yaslı durduğundan,23.09.2023
sıradan bir lastikçiye gidebilirsiniz fakat ucundaki sensörü çalmadığından emin olmalısınız,23.09.2023
sensörsüz aracı kullanmaya başladığınızda zaten sonra ikaz verir sıfırlamaya çalışsanız gitmez hocam sensörü komple iptal edebilmek araca bilgisayarla bağlanıp kodlama yapmak gerekiyor,23.09.2023
görseldeki siyah küçük parça sensör lastiğin içinde kalıyor jantın iç yüzüne yaslanarak duruyor resime gitmek tıklayın,23.09.2023
valla metre uzun mesafeler ben yazkış değişimi yapmak geçen sene gittim adam değişen yeni lastikleri kabaklarla değişmiş koymuş poşete verdi bana boyutu farklı başka müşteri yoktu sinek avlıyordu evde farkedince gittim cevap hazır bizde öyle olmaz,23.09.2023
doğrudur hocam valla pis esnaf maalesef normal şartlarda aracın basınç değişimini hemen algılar sensörler kışlık yazlık değişiminde bile hemen ötüyordu sistem derken fazladan söylemiş olabilirim sibop kapağı hırsızlığı yapılan ülkede maalesef mümkün,23.09.2023
benim sibop kapağını çaldılar gittim bundan aldım güzel hemde emniyetli tavsiye ederim resime gitmek tıklayın,23.09.2023
hocam aman diyim bunları kullanmayın benim önce başıma geldi tarz alüminyummetal sibop kapakları sibop üzerinde oksitlenip yapışıyor hiçbir türlü sökemedi lastikçi sonunda sibop gövdesi kırıldı yeni sibop gövdesi almak zorunda kaldım sanayiye gidip bildiğimiz siyah sibop kapakları para bile etmez çalınsa içiniz acımaz sibop üzerine yapışsa bile falçata keser atarsınız uzun süre kullanmayacaksanız bir diyemem bizzat yaşadığım söyleme gereği duydum hatta zaman sibop gövdesinden fazla almıştım hala evdeki araç çantamda iki tane duruyor,23.09.2023
benimde eski aracımda oldumetal kapaklar sibopa yapışmışben sıktımlastikçiye götürdüm biraz zorlayınca açıldılastikçide kullanma yoksa sibop komple değişmesi gerekir tane sibopada filan demişti,23.09.2023
hocam kimsede görmedim öyle bir kodlama falanla değiştiren görmedim orta ekranda navigasyon açıkken altındaki satırda adres görünüyor arabayı istop ettiğinizde toplam km sayacı çıkıyor ekran kapanana kadar onun dışında devir saati içindeki ekranlardan birinde ilk satırda toplam km yazan ekranı ayarlayabilirsiniz sinyal kolunun başındaki bc isimli tuşa basarak,23.09.2023
araç makyajlandı bence sonbaharda lansmanı gerçekleşir müşteri temsilcisi bana tr ye gelmesi haziran ü bulur demişti,16.09.2023
araçlarından haber alabilen var arkadaşlar malum fiyatı olmuş aracın,16.09.2023
normal hocam hafif eğim varsa yada el frenini çekmeden p ye alınırsa yapıyor banada bir denk geldi,16.09.2023
eğim olmadığı zamanlarda yapıyor yüzden içime bir şüphe düştü alışkanlık olarak el freni çektikten sonra p ye alıyorum bazen p den n ye aldığımda sarsma yapabiliyor,16.09.2023
hocam ses sıcaktan genleşen parçaların soğuma esnasında çıkardığı sesler bir problem değil,16.09.2023
hocam ses bende geliyordu korkulacak bir değil öncelikle ben servise gittiğimde bunun stop ettikten sonraki egzoztaki bir kapakçığınadblue kaynaklı kapanmasından dolayı olduğunu söylediler bende egzoz borusundaki bir kısmı değişim yapmışlardı garanti kapsamında arasındaki araçlarda olabiliyor demişti yetkili değişmese sorun değil,16.09.2023
ben öyle düşündüm ancak başka hiçbir araçta karşılaşmayınca biraz tedirgin oldum sağolun hocam,16.09.2023
aracım model önemli bir değil sanırım bakım zamanı geldiğinde belirtirim herhalde teşekkürler,16.09.2023
yılın son çeyreğine kaldı dedi satış temsilcisi sizden önce sipariş verip aracı gelen olursa vazgeçerse size haber veririm dedi başka alternatif olsa iptal edeceğim direkt öyle bekliyoruz işte verdiğimiz para eriyor tabi arada orası ayrı,16.09.2023
ben iptalimi verdim fazla enayi yerine konmayacağım paramızı alıp paraya para kattılar,16.09.2023
bana kasım ayına ertelendiğini söylediler nedenini araştırmalarını tarafıma iletmelerini duruma göre siparişimi iptal edebileceğimi ilettim,16.09.2023
euronun üzerıne atmasıyla model serılerının çoğu sahıbındende ılandan kalktı,16.09.2023
merhabalar km model aracım balata ikazı yaktı yakın zamanda değiştiren var fiyatlar nerelere gitti şubatta tl civarıydı,23.09.2023
olmuyor,23.09.2023
ben satış temsilcimle konuştum serisi bir gecikme haberi gelmedi dedi serileri almanyadan böyle bir bilgi gelmiş şubat sipariş temmuz teslimdi kadar doğrudur göreceğiz,09.09.2023
araç eşleşmesi yapıldıktan sonra ay süreniz oluyor bana nisan bilgi verdiler mayısta ödemeyi istediler,09.09.2023
merhabalar resmi olarak temmuz aracım ekime ötelendi ay gecikme acayip bir dönemdeyiz yapacak bir yok şimdi bekleyeyim mi vaz geçeyim onu düşüneceğim,09.09.2023
izmir özgörkey verdi haberi herhangi bir sebep belirtmedi kendileri zor durumda kalıyoruz müşteriye dedi yurtdışı kaynaklı muhtemelen ekran görüntüsünü göndermiş benim siparişimin ötelenmiş olduğunu kayıtlarda gördüm,09.09.2023
bana temmuz kotasına ayın sonra vakıf olabileceklerini söylediler,09.09.2023
hocam standart depo bizim ülkede geniş yakıt deposu tercih edildiği ekstra donanım olarak genişletilmiş yakıt deposu seçilebiliyordu aracın donanımında yazıyorda deponuz oluyor ayrıca yakıtın sıcak havalarda genleşme yapacağı vs göz önünde bulundurulursa depoyu mümkün olduğunca aşırı doldurmaktan kaçınmak yerinde olur linkte gelecek nesilden bahsediliyor yakıt deposunun değişmediğini farz ediyorum the is powered by a turbocharged threecylinder engine fed by a fuel tank that is able to produce from to and of torque from to the engine requiring a minimum of gets fed by a larger fuel tank with fuel economy rated from to litres per on the combined cycle,16.09.2023
bana gelen araç bilgi formunda genişletilmiş depo standart donanım olarak geçiyor sizinki öyledir muhtemelen resime gitmek tıklayın,16.09.2023
hocam teşekkür ederim yaklaşık km boyunca kafama takılmıştı,16.09.2023
hocam öncesi first edition modellerde lt olarak geldi sonrasında genişletilmiş yakıt deposu adı altında kapasitesini arttırdılar,16.09.2023
teşekkür ederim hocam özelliklerinde genişletilmiş yakıt deposu yazıyordu eski halini ciddiye alarak okumamıştım şimdi sizler söyleyince jeton düştü,16.09.2023
merhabalar bazi deneyimlerimden bahsetmek istiyorum aracim yaklasik km oldu sehir ici trafikte lt nin altina dusemiyorum cok kasmiyorum kassam nin alti mumkun degil gorunuyor ankara sehirler arasi ankaraalanya km ortalama lt gittim yetiskin bebek full bagaj genelde kmh sabit gittim alanyaankara km ortalama lt dondum gidis donus ortalamam lt idi degerler biraz kasilirsa bazen lara ciktim bazen sabit gittim vs lt asagi dusebilir arac uzun yolda genel olarak yormadi arac tok trim sesi vs yok fakat comfort modda vites secimleri eco pro ivme icin pedala cok basmaniz gerekiyor gucunu cok hissettirmiyor yalitimin payi var ayrica comforttaki direksiyon hissi yapay denecek kadar yumusak bmw degil mercedes suruyormussunuz yaylarin sertligi standart bmw sertliginde degil yumusaga yakin ayarlanmis sebeple ozellikle comfortta kullanirken direksiyonun etkisiyle virajlarda cok bmw guveni yok onun yerine mercedes konforuna benzer bir surusu var kasa serimiz vardi uzun yol surus hislerini ona benzettim ayrica son aracim kasa mercedes e direksiyon hissi olarak benzettim kasa miz vardi ayni guzergahta raya oturmus lokomotif ilerlerdi sportline audi ler bir onceki kasa virajlarda oldukca guven verirdi aracta tipik bmw surus ozelliklerini beklemeyin derim selamlar,16.09.2023
bizler biraz kullandıktan sonra kaldırıldı sistem yazık yıldır gelecek bekliyoruz korkarım gelmeyecek,16.09.2023
ben km yi devirdim km istanbul şehir içi kullanım km şehir dışıbayram tatili yakıt tüketim verilerine katılıyorum arkadaşın anlattığı verilere yakın bizim yol tutuş olarak bence güvenli bir araç şehir dışı kullanımımı aracı keşfetmek biraz performanslı kullandım yüksek sayılabilecek km arası hızlarda yol tutuşu güvensizlik ilgili bir huzursuzluğum olmadı direksiyonunu yeterli amortisörlerini rakiplerine göre sert buluyorum bozuk yollarda konforlu olduğunu söyleyemem spor arabalara yakın bir amortisör var,16.09.2023
merhabalar araç kmyi geçtik sadece üç ankara kızılcahamam arası hariç genelde şehir içi diyebilirim havalimanı çevre yoluna çıktım iki an fabrika ortalamam evim iş yerim arası dur kalklı trafiğe takılmazsam genelde düşük gördüm evime yakın m dik bir yokuş çıkarken son gördüğüm rakama falan ekliyor bilgisayar klima dur kalk yaptığım zaman gördüm fazla ev iş yeri arası ankara eskişehir yolu yelken modu yakıt tüketimi baya azaltıyor comfort modeda vites geçişleri belirgin değil gayet akıcı dediğiniz biraz performans görmek istiyorsanız pedala basmanız gerekiyor hususu kendimce şöyle çözüyorum ani hızlanmam gereken yerlerde yokuş tırmanırken aracın vites geçişlerini geç yapması vites topuzunu sola çekiyorum yarı manuelsport vites sol taraftayken yapmazsanız vitesler spor aralıklarla değişiyor sayede gaz tepkileri vites geçişleri iyi oluyor virajlarda verdiği güven meselesine gelirsek arkadan çekişi bırakmanın etkisi belirgin bence araç ön tekerlerden yön almaya çalışıyor ileri hareket yapmaya çalışıyor direksiyon vw grubuna göre hala sert eski kasaya göre biraz yumuşamış olabilir süspansiyon bence şehirlerimize göre uygun malum yerde çukurtümsek var genel olarak şehir içi hızlarda yol tutuşu iyi bence şehir dışında yağmurlu havada kullandım son kurban bayramı dönüşünde sınırlarını zorlamadım güven konusunda herhangi bir sorun yaşamadım şimdiye dek,16.09.2023
bugün aracı teslim aldım uzun bekleyiş stresli günlerden sonra kavuşabildik aracı trafiğe çıkartmadan çekici komple ppf kaplama cam filmi yapılması gönderdim stek dynoshield kaplama yapılacak llumar cam filmleri yapılacak sunroof dahil camlara cam filmi uygulanacak i̇şlemler bitince fotoğrafları paylaşırım,02.09.2023
hayırlı olsun güzel günlerde kullanın,02.09.2023
teşekkürler,02.09.2023
borusan yapmıyor konfor erişim sormuştum eksta özellik eklemiyoruz demişti acc radarı bilmiyorum tuş yok tr araçlarında öyle basit bir güncelleme olacağını sanmam,02.09.2023
hocam hayırlı olsunben dün aracı teslim aldım araç gayet güzel i̇vmelenme hızı hissettirmiyor oldukça tok bir araç süspansiyon konforu beklediğimden iyi önceki kasa audi sportline aracım vardı sertti direksiyon comfort modda bmw sertliğinde değil hatta yapay bir yumuşaklık var tam alışamadım aracımda hifi yok std müzik sistemi bana fena gelmedi,09.09.2023
msport u yaklaşık ay önce teslim aldım araç kaliteli serisine göre malzeme motor performansında bmw esintisi var ancak donanım olarak tatminkar olduğunu söyleyemem acc otomatik uzun far koltuk ısıtma donanımların ana kada teslim edilen araçlara eklenebilen opsiyonlar olması gerekiyordu yeni serilerine opsiyonların eklenebildiğini gördükten sonra biraz soğudum dediğim düşük fiyatlara rakipleri güzel donanımlar sunuyor emsallerinin küçümsenecek markalar olmadığı zaten aşikar fiyatlarda marka etkisi maalesef yüksek,09.09.2023
bmw arac yokken fiyat dusuk arac gelince yuksek serisi makyajli a serisi arasinda ay once bin lira fark vardi su an bin lira audi keza arac olmadigi icin ucuz,09.09.2023
bugün satış danışmanım görüştüm temmuz teslimatlı aracım vardı erteleme olmuş araçlarda ay gecikme olacakmış,09.09.2023
şimdi bir a fl amg konfigure etmeye çalıştım uzun far asistanı anahtarsız giriş cam tavan vb eklediğinde fiyat oluyor bmwde a serisine göre donanımları çıkardığımızda temmuz teslim araçlarımızın fiyatları nispeten normal kalıyor şimdi arkadaşın yazdığı temmuz teslim araçların gecikeceği bilgisi can sıkıcı ben sordum temsilcime bana gecikme bilgisi yok dedi şehirden şehire fark eder mi bilmiyorum ben izmirdeyim,09.09.2023
şehirden şehire değil bayiden bayiye fark olduğunu söylemişlerdi ben alırken doğrudur yanlıştır diyemem araç eşleşmesi olmadıktan sonra st ler derse inanıyoruz maalesef,09.09.2023
hocam hayırlı olsun hangi bayiden sipariş vermiştiniz birde sipariş tarihiniz nedir,09.09.2023
teşekkürler kasımda özgörkey izmir den sipariş verdim umarım biran önce herkes arıcını teslim alır,09.09.2023
fl amg standart donanımıda ekledim dediğiniz donanımlar zaten mevcut tl isıtmalı koltuk var bmwden ucuza geliyor bence benim serisi siparişim olduğu yakından takip ediyorum,09.09.2023
ben mi yanlış yorumluyorum birçok özellik premium plus paketi geliyor onun fiyatı çıplak halde bin tl resime gitmek tıklayın,09.09.2023
konfigüratör biraz yanıltıcı hiçbir donanım eklemeden sondaki adımda standart donanım özetini gösteriyor orda çoğu standartın içerisinde,09.09.2023
evet enteresan bir durummuş dediğiniz birçok ekstra var mercedes a classta fiyat neredeyse aynı arada sadece malzeme araç kalitesi kalıyor eski kasada a class malzeme kalitesi kötüydü an durum düzeldiyse bmw müşteri kaybeder fiyat politikası,09.09.2023
selamlar dün tekrardan görüştüm siparişten vazgeçtiğimi iletince bir ihtimal bayramdan sonra gelebilir dediler i̇stanbul bostancı kosiflerdi benim bayi ancak aracı ilk sorduğumuzda facelift olarak gelecek demişlerdi active tourerlardaki bir ekran böyle olmayacakmış sebeple vazgeçtim alıcılarına hayırlı olsun şimdiden,09.09.2023
güzel uydurmuşlar serisi hiçbir zaman yeni ekran istihbaratı gelmedi zaten araç seneye toptan değişiyor facelift görmeyecek bayağı süre önce sızan bir bilgi sene olmuşturmesela serisi örneğine bakarsak martta yeni ekran geleceği ay önceden duyuldu denildiği tarihte geldi,09.09.2023
araçlara aşırı zamlar geliyor gelmeye devam edecek kredi çekme ihtimali artık düştü sebeple araç piyasasına saldırma günleri geride kalabilir çoğu kişi vazgeçebilir araç almaktan,09.09.2023
aracın kendi navigasyonunda hiçbir şekilde trafik bilgisine erişemiyoruz değil mi göstergedeki harita kullanışlı trafik bilgisi olmayınca istanbulda kullanılmıyor babamdaki honda civic bir şekilde trafik bilgisi alıyordu bağlanan telefondan düşünüyorum,02.09.2023
gunaydinne yazik ulkemizde connected drive acilana kadar erisemezsiniz connected drive guncel yol bilgisinden tutun hava durumu mail uygulamalari dahil bircok seyi gorebilirsiniz umarim ilerleyen zamanda gelecek bunlarsiz sistemlerin hic anlami kalmiyor,02.09.2023
umarım hocam bir yolunu bulup çözseler güzel olur azından telefon üzerinden internet bağlantısı olsa iyi olur,02.09.2023
bende zamı yiyenlerdenim bende zorladım geri adım atmadılar,02.09.2023
gecmis olsun size bugun odemeyi tamamladim haftaya salicars teslim edecekler,02.09.2023
hayırlı olsun sizede bizde şimdi tamamladık ödemeyi teslimatı konuşmadık sadece parayı konuşuyoruz önümüzdeki hafta teslim alırız düşünüyorum,02.09.2023
hocam hangi bayiden sipariş verdiniz sipariş tarihiniz nedir,02.09.2023
tl kullandım araba geliyor dedikten sonra gelen zam kredi çektim,02.09.2023
hocam ocak borusan ankara bayiilerinden biriedit okunmustur bayii ismini sildim,02.09.2023
bana oluyor kosifler şubat siparişe temmuz teslim süresi ekim ayında üretimi olucak serisinin üretiminde sorun var diyor anlamadım gerçekten,02.09.2023
makyajlı kasa lansman olur acava erken sıraya girenlerden olmak istesek mesela,02.09.2023
benim aynı durum ekran görüntülerini aldım şikayetimi edeceğim bir çıksa çıkmasa deneyelim bari,02.09.2023
bende şikayet edeceğimi söyledim borusanı aradım dönüş bekliyorum borusan yapmazsa cimer e yazmayı düşünüyorum liste fiyatı faturalanan fiyat farklı sonuçta,02.09.2023
fiyat listesindeki rakamlara görede yüksek çıkıyor aracın donanımsız fiyatıda yüksek yazılmış faturada tekrar aradım borusan ı dönüş bekliyorum hesabıma göre tl fark var,02.09.2023
hocam ambiyans ışığı yok ancak kapı mandallarında aydınlatma ışığı var,02.09.2023
ocak siparisim mayista uretim bitti haber verildi su an gemideymis ay sonu teslimat olur sanirim,02.09.2023
ben sportline sipariş vermiştim ocakta tahmini teslimat mayıstı sabah bir msport boşa çıkmış hızlıca onayladım cumaya kadar parayı toparlamaya çalışıyorum,02.09.2023
aracın ekstrası varmı fiyat olarak bir fiyat verdiler,02.09.2023
benim aracımda gelmiş salı günü fatura kesebileceklerini söylediler fiyat salı günü belli olacakmış,02.09.2023
ekstra olarak hifi ses sistemi var tescil masrafları dahil tuttu ekstra herhangi bir vs zorlamadılarben burada kendi aracımın gelmesine kadar var tahminde bulunmak sormuştum ancak çabuk karar vermem gerekti dolayısıyla boştaki aracı almış oldum sportline storm bay rengi istiyordum m sport skyscraper rengi oldu ekstra olarak hifi ses sistemi seçmiştim denk geldigaranti bankasından kredi çektim faizle kredi kartından ay vadeli çektirdim krediden ucuza geldi kalanını havale yaptım fatura kesildi salı çarşamba teslim edilmesini bekliyorlar,02.09.2023
hayırlı olsun sağlıkla mutlulukla kullanın,02.09.2023
hayırlı olsun güzel günlerde kullanın,02.09.2023
ben aracı ekim ayında teslim aldım dışarıdan kaplama yaptırdım zamanki fiyatlar aşağıdaki sadece yazdığım bölgeleri kaplattım geri kalan kısım herhangi bir işlem uygulatmadım ay önce kaplama yaptırmadığım kısmı seramik yapsak fiyat olur dediğimde demişti paketin içinde yazmış olduğun markalar piyasanın iyilerinden fiyatlar nedir etraftan teklif almanı tavsiye ederim kaskoyu bayiden yaptırdım bin teklif verdiler sınırsız mali mesuliyet fark vermiştim gayet yeterliydi kaputön tamponön iki teker üstü çamurlukön far detailing orta kalite kaplama ryno yüksel kalite kaplama ryno ön cam solarguard ön cam solarguard bad detailing araç kaplama bin ön cam ön cam,02.09.2023
sağolun hocam ben kaskoyu bayide yaptırıp kaplama işini dışarıda yaptırıcam herhalde avrupa yakasında güzel bir yer bulursam güzel olacak detailing duydum biraz uzak,02.09.2023
ben orada yaptırdım i̇şçilik malzeme konusunda başarılılar fiyat olarak alternatiflerine göre ucuz pahalı diyemeyeceğim sabah bırakıp ertesi gün öğlen almıştım,02.09.2023
bugün aracı teslim aldım beklediğimden erken geldi araç şahane edit biraz yorumlarımı yazayım boşa araç çıktı dendikten sonra toplam iş günü sonra aracı teslim aldım skyscrappermetalik gri araçta güzel duruyor malzeme kalitesi ekranlar iyi normal deri koltuklar gayet güzel anahtarsız giriş adaptif cruise control koltuk ısıtma kablosuz şarj keşke olsaydı zaman benim eksiksiz olurdu an beklentilerimi fazlasıyla karşılıyor,02.09.2023
bugün kendi st değil başka st görüştüm olumsuz sonuçlar aldım maalesef şubat verdiğim sipariş st bana nisan teslim demişti sonra mayısa kadar bekledim bir çıkmadı bugün başka bir st görüştüm araç temmuz teslimat gözüküyor temmuz araçları ekim üretilip teslim ediliyor dedi serilerinde üretim sorun varmış gerçekten kadar saçma ekim nedir başka araçlara yönelicem sanırım peugeot gt düşünüyorum,02.09.2023
araştırmıştım orjinal parçayı alıp takabiliyorsunuz fakat ısınıyor pek şarj etmiyor carplay bağlıysa anca şarjı koruyor,02.09.2023
teşekkürler hocam türlü kablolu bir şekilde halledicez sanırım,02.09.2023
bende anlamadım kendileri öyle dedi standart olan konfor erişim paketi mi gelicek,02.09.2023
hayirli olsun gule gule kullanin benim aracin faturasi yarin kesilecek dun bin lira zam gelmis onu yansittilar kavga dovus bir sey fayda etmedi firsatci borusan muhtemelen haftaya sali teslim alirim i sportline hicbir ekstrasi,02.09.2023
geçmiş olsun hocam ben iki gün içinde ödemek zorunda olduğum zorlandım biraz şanslıymışım demek,02.09.2023
hocam zaten konfigüre ettiğiniz araç birebir üretime girmiyor zamanki duruma göre stok vs yaklaşık olarak bir geliyor renk tutuyor sadece geri kalan şansınıza ben ay önce sportline sipariş etmiştim araç üretime girdi şubatta bilgi formu gönderdiğinde normalde sportline olmasına rağmen m sport direksiyon eklenmiş hk ses yerine hifi konulmuş comfort access yoktu m sportlara zaten kafadan alcantara ekliyorlar biliyorum normaline denk gelmedim dediğim zaten özelleştirmiyorlar başka türlüyse azından benim tecrübem şekilde oldu boşa düşen öyle teklif edilen araç değildi,26.08.2023
resime gitmek tıklayın,26.08.2023
benim ikinci siparişim herşey istediğim geldi,26.08.2023
arkadaşlar merhaba öncelikle herkesin geçmiş bayramını kutlarım aracıma yeni ses sistemi uygulaması bilgi toplama amacıyla geziniyordum foruma denk geldim sorularınız var alabilirim biraz iddialı olucak fakat araçla alakalı neredeyse mekanik elektronik herşeye hakimim araçta biraz değişiklikler yaptık yorumlarınızı bekliyorum saygılar resime gitmek tıklayın,02.09.2023
güzel görünüyor ben hayırlısı aracımı alabilirsem ilk yapacağım iş piyano black diamond böbrek olacak,02.09.2023
fren grubu olarak eklemedim parçaları maliyetli fren grubu kadardır bilmiyorum,02.09.2023
nisanda araç üretime girdi aracın nisan sonu yada mayıs başında fatura kesileceği bilgisi verildi gün belgeyi paylaştılar,02.09.2023
kasım verdim siparişi,02.09.2023
şimdi farkettim evet yıl logo yok konfor paketi standart biliyorum,02.09.2023
